Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17981951.3211603	1	7	0
SRR17981951.3211602	1	7	0
SRR17981951.3211599	0	8	0
SRR17981951.3211597	1	7	0
SRR17981951.4653067	0	7	0
SRR17981951.3735363	0	7	2
SRR17981951.3735365	1	8	0
SRR17981951.3735366	0	4	0
SRR17981951.3735364	1	7	0
SRR17981951.4249004	1	7	0
SRR17981951.3735362	0	7	1
SRR17981951.3295708	0	6	0
SRR17981951.3295709	0	3	0
SRR17981951.3048745	0	8	0
SRR17981951.3048746	1	6	1
SRR17981951.3048747	0	8	0
SRR17981951.3370954	0	7	1
SRR17981951.3370950	1	5	1
SRR17981951.3370952	0	6	1
SRR17981951.3370947	0	8	0
SRR17981951.3370949	0	8	0
SRR17981951.3370951	1	7	0
SRR17981951.3370953	1	7	0
SRR17981951.3370946	0	6	0
SRR17981951.3370945	0	4	0
SRR17981951.3370948	0	8	0
SRR17981951.3272182	0	2	0
SRR17981951.4557464	4	0	0
SRR17981951.4557460	4	0	0
SRR17981951.4557466	4	0	0
SRR17981951.4557468	4	0	0
SRR17981951.4557470	3	0	1
SRR17981951.4557472	4	0	0
SRR17981951.4557474	4	0	0
SRR17981951.4557476	3	0	1
SRR17981951.4557478	2	0	0
SRR17981951.4557459	3	1	0
SRR17981951.4557461	4	0	0
SRR17981951.4557463	4	0	0
SRR17981951.4557465	4	0	0
SRR17981951.4557467	4	0	0
SRR17981951.4557473	4	0	0
SRR17981951.4557477	4	0	0
SRR17981951.4557469	4	0	0
SRR17981951.4557471	4	0	0
SRR17981951.4557462	4	0	0
SRR17981951.4557457	4	0	0
SRR17981951.4557475	4	0	0
SRR17981951.4557458	3	0	0
SRR17981951.4266679	2	0	0
SRR17981951.4557456	2	0	0
SRR17981951.2071043	0	2	0
SRR17981951.3228338	9	0	0
SRR17981951.3228337	9	0	0
SRR17981951.3228341	9	0	0
SRR17981951.3228336	1	0	0
SRR17981951.3228342	8	1	0
SRR17981951.3228346	7	1	0
SRR17981951.3228340	8	1	0
SRR17981951.3228339	7	1	1
SRR17981951.3228343	9	0	0
SRR17981951.3228347	9	0	0
SRR17981951.3228344	8	0	0
SRR17981951.3228345	9	0	0
SRR17981951.2687921	1	7	1
SRR17981951.2687923	0	9	0
SRR17981951.2687925	0	9	0
SRR17981951.2687922	1	8	0
SRR17981951.2687924	0	8	0
SRR17981951.2687928	0	8	1
SRR17981951.2687929	1	8	0
SRR17981951.2687920	0	2	0
SRR17981951.2687927	0	8	1
SRR17981951.2687926	0	8	1
SRR17981951.2687930	0	8	0
SRR17981951.3370944	0	4	0
SRR17981951.4301596	7	0	0
SRR17981951.4301598	7	0	0
SRR17981951.4301597	6	1	0
SRR17981951.4301601	6	0	0
SRR17981951.4301603	7	0	0
SRR17981951.4301605	6	1	0
SRR17981951.4301595	7	0	0
SRR17981951.4301606	6	0	1
SRR17981951.4301599	7	0	0
SRR17981951.4301602	7	0	0
SRR17981951.4301594	5	0	1
SRR17981951.4301600	7	0	0
SRR17981951.4301604	7	0	0
SRR17981951.3590580	7	0	0
SRR17981951.3590586	6	0	1
SRR17981951.3590588	5	0	0
SRR17981951.3590590	7	0	0
SRR17981951.3590592	6	1	0
SRR17981951.3590594	6	1	0
SRR17981951.3590598	7	0	0
SRR17981951.3590600	6	0	0
SRR17981951.3590577	3	0	0
SRR17981951.3590579	7	0	0
SRR17981951.3590581	4	1	1
SRR17981951.3590583	5	0	2
SRR17981951.3590585	5	0	1
SRR17981951.3590587	6	0	0
SRR17981951.3590589	7	0	0
SRR17981951.3590593	6	1	0
SRR17981951.3590597	6	0	1
SRR17981951.3590599	6	0	1
SRR17981951.3590596	6	0	0
SRR17981951.3590578	7	0	0
SRR17981951.3590591	7	0	0
SRR17981951.3590584	7	0	0
SRR17981951.3590595	5	0	1
SRR17981951.3590582	6	1	0
SRR17981951.4482487	6	1	0
SRR17981951.4482489	7	0	0
SRR17981951.4482484	7	0	0
SRR17981951.4482486	7	0	0
SRR17981951.4482485	7	0	0
SRR17981951.4482488	6	1	0
SRR17981951.3926313	1	5	0
SRR17981951.4301607	4	1	1
SRR17981951.3370955	0	1	0
SRR17981951.3926312	0	4	0
SRR17981951.3123482	0	5	0
SRR17981951.3123481	0	5	0
SRR17981951.4614399	0	3	0
SRR17981951.4614400	0	3	0
SRR17981951.7402554	3	0	0
SRR17981951.7501719	28	3	4
SRR17981951.5904062	34	2	0
SRR17981951.7110969	34	3	3
SRR17981951.7110970	33	2	2
SRR17981951.7110968	36	4	1
SRR17981951.7110966	34	3	5
SRR17981951.7110967	34	4	2
SRR17981951.6395152	1	16	1
SRR17981951.5160583	1	2	0
SRR17981951.7195175	1	17	0
SRR17981951.6395153	1	16	0
SRR17981951.5904061	23	3	3
SRR17981951.5559862	2	25	0
SRR17981951.5559865	0	48	2
SRR17981951.5559866	1	43	1
SRR17981951.5559863	3	46	1
SRR17981951.5559867	2	46	0
SRR17981951.5559864	0	50	0
SRR17981951.6507274	17	3	2
SRR17981951.6507261	38	5	3
SRR17981951.6507262	38	1	6
SRR17981951.6507266	39	5	1
SRR17981951.6507268	39	5	3
SRR17981951.6507270	34	7	5
SRR17981951.6507263	36	4	6
SRR17981951.6507269	39	4	1
SRR17981951.6507273	35	5	5
SRR17981951.6507264	36	5	6
SRR17981951.6507267	37	4	3
SRR17981951.6507265	37	5	7
SRR17981951.6507272	33	7	5
SRR17981951.5607971	37	3	5
SRR17981951.5607975	36	5	2
SRR17981951.5607970	20	1	2
SRR17981951.5607972	40	2	1
SRR17981951.5607973	33	7	3
SRR17981951.5607974	42	2	1
SRR17981951.6507271	31	6	5
SRR17981951.7240079	7	33	2
SRR17981951.7240081	3	39	1
SRR17981951.7240083	4	35	5
SRR17981951.7240091	1	33	3
SRR17981951.7240095	2	34	1
SRR17981951.7240096	0	27	0
SRR17981951.7240082	3	36	1
SRR17981951.7240086	3	36	3
SRR17981951.7240092	3	38	1
SRR17981951.7240080	4	32	2
SRR17981951.7240088	5	37	2
SRR17981951.7240078	1	38	2
SRR17981951.7240084	0	38	2
SRR17981951.7240098	1	38	2
SRR17981951.7240094	2	35	3
SRR17981951.7240097	2	37	3
SRR17981951.7240090	2	36	1
SRR17981951.7240093	3	33	5
SRR17981951.7240087	5	29	6
SRR17981951.7240085	2	35	1
SRR17981951.7501718	9	0	0
SRR17981951.7240089	2	30	1
SRR17981951.7110965	11	1	2
SRR17981951.6551990	1	46	2
SRR17981951.6551985	1	40	3
SRR17981951.6551988	4	46	0
SRR17981951.6551992	2	45	1
SRR17981951.6551994	1	47	1
SRR17981951.6551996	2	47	0
SRR17981951.6551998	2	42	4
SRR17981951.6552000	2	44	1
SRR17981951.6552002	3	40	3
SRR17981951.6551987	1	47	1
SRR17981951.6551989	4	43	2
SRR17981951.6551991	2	45	2
SRR17981951.6551993	0	47	0
SRR17981951.6551995	2	43	2
SRR17981951.6551999	2	47	1
SRR17981951.6552001	4	43	0
SRR17981951.6551997	2	43	3
SRR17981951.6551986	0	45	2
SRR17981951.6552003	1	44	1
SRR17981951.7240099	3	22	4
SRR17981951.6644798	1	42	0
SRR17981951.6644806	1	39	3
SRR17981951.6644804	2	36	6
SRR17981951.6644800	0	42	0
SRR17981951.6644812	0	43	1
SRR17981951.6644803	1	40	1
SRR17981951.6644811	0	40	0
SRR17981951.6644808	2	41	1
SRR17981951.6644797	3	39	1
SRR17981951.6644805	1	43	0
SRR17981951.6644807	5	35	1
SRR17981951.6644801	1	40	2
SRR17981951.6644810	1	41	1
SRR17981951.6644802	3	39	2
SRR17981951.6644799	1	41	2
SRR17981951.6406722	2	42	1
SRR17981951.6406721	0	5	0
SRR17981951.7477640	40	1	1
SRR17981951.7477641	1	0	0
SRR17981951.6644813	1	35	3
SRR17981951.6644809	1	35	4
SRR17981951.5607976	19	1	2
SRR17981951.6191870	10	6	3
SRR17981951.7240077	0	19	3
SRR17981951.7477639	30	4	1
SRR17981951.7174116	6	0	0
SRR17981951.6406723	0	20	0
SRR17981951.6644796	0	10	0
SRR17981951.6664477	0	17	0
SRR17981951.6664479	0	17	0
SRR17981951.6664483	0	17	0
SRR17981951.6664485	0	17	0
SRR17981951.6664487	0	17	0
SRR17981951.6664489	0	15	1
SRR17981951.6664491	0	16	0
SRR17981951.6664493	1	15	0
SRR17981951.6664495	0	17	0
SRR17981951.6664476	0	5	0
SRR17981951.6664478	0	16	0
SRR17981951.6664480	0	16	0
SRR17981951.6664482	1	15	1
SRR17981951.6664484	0	16	1
SRR17981951.6664486	0	17	0
SRR17981951.6664488	0	17	0
SRR17981951.6664490	0	16	1
SRR17981951.6664494	0	16	0
SRR17981951.6664481	1	16	0
SRR17981951.6664492	1	14	2
SRR17981951.6726832	0	18	0
SRR17981951.6726830	0	17	0
SRR17981951.6726834	0	15	2
SRR17981951.6726838	0	17	1
SRR17981951.6726840	0	18	0
SRR17981951.6726842	0	16	2
SRR17981951.6726844	0	18	0
SRR17981951.6726829	0	8	0
SRR17981951.6726831	0	18	0
SRR17981951.6726833	0	17	1
SRR17981951.6726837	0	17	1
SRR17981951.6726841	0	18	0
SRR17981951.6726843	0	17	1
SRR17981951.6726839	0	18	0
SRR17981951.6664496	0	16	0
SRR17981951.6726835	0	18	0
SRR17981951.6726836	0	17	1
SRR17981951.6891010	0	4	0
SRR17981951.6891009	0	18	0
SRR17981951.6864478	8	2	1
SRR17981951.6864472	14	1	1
SRR17981951.6864474	15	2	0
SRR17981951.6864477	16	1	0
SRR17981951.6864476	16	1	0
SRR17981951.6864473	15	1	0
SRR17981951.6864475	14	1	2
SRR17981951.6864471	2	0	0
SRR17981951.5891879	15	1	0
SRR17981951.5891887	13	1	1
SRR17981951.5891889	11	1	2
SRR17981951.5891878	8	1	0
SRR17981951.5891882	11	2	0
SRR17981951.5891886	14	0	0
SRR17981951.5891888	11	3	0
SRR17981951.5891881	13	0	0
SRR17981951.5891883	14	1	0
SRR17981951.5891885	16	0	0
SRR17981951.5891880	10	3	2
SRR17981951.5891884	12	2	0
SRR17981951.7314615	14	1	0
SRR17981951.7314617	14	0	0
SRR17981951.7314616	11	1	3
SRR17981951.7314618	14	1	0
SRR17981951.4992687	2	0	0
SRR17981951.4992688	4	1	0
SRR17981951.6296327	0	15	0
SRR17981951.6296329	2	11	1
SRR17981951.6296328	0	14	0
SRR17981951.6296326	0	14	1
SRR17981951.6726845	0	9	1
SRR17981951.6020944	0	11	0
SRR17981951.5891890	9	2	0
SRR17981951.6296330	0	13	1
SRR17981951.7314619	8	1	0
SRR17981951.4950660	10	0	2
SRR17981951.4950662	11	1	0
SRR17981951.4950664	10	1	0
SRR17981951.4950666	10	1	0
SRR17981951.4950668	9	2	0
SRR17981951.4950670	11	1	0
SRR17981951.4950672	8	3	0
SRR17981951.4950674	11	1	0
SRR17981951.4950678	11	0	0
SRR17981951.4950680	5	0	1
SRR17981951.4950659	8	1	0
SRR17981951.4950661	12	0	0
SRR17981951.4950663	11	1	0
SRR17981951.4950665	12	0	0
SRR17981951.4950669	9	2	0
SRR17981951.4950671	11	1	0
SRR17981951.4950673	12	0	0
SRR17981951.4950675	12	0	0
SRR17981951.4950677	8	1	2
SRR17981951.4950679	8	2	0
SRR17981951.4950676	10	0	2
SRR17981951.4950667	9	1	1
SRR17981951.6020945	0	8	0
SRR17981951.6891008	0	6	0
SRR17981951.6830066	2	5	0
SRR17981951.6830068	0	7	0
SRR17981951.6830070	0	7	0
SRR17981951.6830072	0	6	0
